Run, SubRun, Event
17.9334 , -0.583691 , 1.19028
17.878 , -0.605226 , 1.65938
17.8199 , -0.62777 , 2.15047
17.7649 , -0.649146 , 2.61611
17.7096 , -0.670618 , 3.08384
17.6535 , -0.692396 , 3.55823
17.5978 , -0.714011 , 4.02906
17.5459 , -0.731228 , 4.50376
17.4998 , -0.742125 , 4.97777
17.4537 , -0.753043 , 5.45268
17.4084 , -0.763751 , 5.91845
17.3637 , -0.774326 , 6.37841
17.3184 , -0.78502 , 6.84361
17.2726 , -0.795849 , 7.31463
17.227 , -0.806633 , 7.78371
17.1814 , -0.817416 , 8.25275
17.1355 , -0.828276 , 8.72537
17.0913 , -0.824846 , 9.17933
17.047 , -0.821415 , 9.63336
17.0016 , -0.81789 , 10.0999
16.9572 , -0.814445 , 10.5558
16.9119 , -0.810933 , 11.0205
16.8671 , -0.807451 , 11.4813
16.8219 , -0.803948 , 11.945
16.7777 , -0.800516 , 12.3991
16.7332 , -0.797067 , 12.8555
16.688 , -0.792537 , 13.311
16.6377 , -0.78231 , 13.7715
16.5878 , -0.772166 , 14.2283
16.5375 , -0.761952 , 14.6881
16.4878 , -0.751844 , 15.1433
16.4391 , -0.74194 , 15.5892
16.389 , -0.731752 , 16.0479
16.3392 , -0.721617 , 16.5042
16.2891 , -0.711445 , 16.9622
16.2384 , -0.701127 , 17.4269
16.1918 , -0.691656 , 17.8542
16.141 , -0.681328 , 18.3432
16.0934 , -0.671645 , 18.8017
16.047 , -0.662209 , 19.2484
16.0008 , -0.652812 , 19.6933
15.9523 , -0.642929 , 20.1613
15.9052 , -0.633363 , 20.6142
15.8574 , -0.623639 , 21.0746
15.81 , -0.613988 , 21.5316
15.7627 , -0.604378 , 21.9866
15.7158 , -0.59482 , 22.4391
15.6664 , -0.58539 , 22.8981
15.6151 , -0.576497 , 23.3505
15.5638 , -0.567601 , 23.803
15.512 , -0.55862 , 24.2599
15.4603 , -0.549665 , 24.7154
15.409 , -0.540775 , 25.1677
15.357 , -0.531755 , 25.6265
15.3043 , -0.522625 , 26.091
15.2523 , -0.5136 , 26.5501
15.2018 , -0.504844 , 26.9955
15.1496 , -0.495802 , 27.4554
15.0906 , -0.485576 , 27.9757
14.9502 , -0.432293 , 29.7318
14.9142 , -0.418466 , 30.1848
14.878 , -0.404542 , 30.6411
14.8417 , -0.390599 , 31.0979
14.8049 , -0.376446 , 31.5617
14.7692 , -0.362718 , 32.0115
14.7324 , -0.348562 , 32.4753
14.6968 , -0.334887 , 32.9234
13.7044 , -0.015076 , 34.5256
13.2561 , 0.131595 , 34.8917
12.7741 , 0.289315 , 35.2853
12.32 , 0.437899 , 35.6561
11.8954 , 0.576823 , 36.0028
11.4518 , 0.721969 , 36.3651
10.9655 , 0.881065 , 36.7621
10.4357 , 1.05443 , 37.1948
10.0687 , 1.17451 , 37.4945
7.84176 , 1.79247 , 39.201
7.38841 , 1.91379 , 39.5438
6.9937 , 2.01941 , 39.8423
6.42395 , 2.17188 , 40.2732
5.8071 , 2.33696 , 40.7397
5.41691 , 2.44137 , 41.0348
4.95527 , 2.56491 , 41.384
4.54884 , 2.67368 , 41.6913

Run, SubRun, Event
6260 , 150 , 7471

19.6068 , 5.74639 , 40.0187
19.6421 , 5.72889 , 39.5828
19.6792 , 5.71047 , 39.1239
19.7158 , 5.69227 , 38.6707
19.752 , 5.67433 , 38.2239
19.7883 , 5.65631 , 37.775
19.8251 , 5.63804 , 37.3198
19.8619 , 5.61976 , 36.8647
19.9344 , 5.58376 , 35.9679
19.9618 , 5.57401 , 35.509
19.9861 , 5.56687 , 35.0521
20.0108 , 5.55966 , 34.59
20.0351 , 5.55254 , 34.134
20.0593 , 5.54546 , 33.6805
20.0838 , 5.5383 , 33.2221
20.1081 , 5.53116 , 32.7651
20.1328 , 5.52393 , 32.3021
20.1573 , 5.51676 , 31.8427
20.1817 , 5.50963 , 31.3864
20.2058 , 5.50256 , 30.9337
20.239 , 5.50174 , 30.4696
20.2746 , 5.50262 , 30.0011
20.3097 , 5.50348 , 29.5402
20.3451 , 5.50434 , 29.0764
20.3799 , 5.5052 , 28.6189
20.415 , 5.50606 , 28.1583
20.4516 , 5.50696 , 27.6765
20.4859 , 5.5078 , 27.227
20.5209 , 5.50865 , 26.7674
20.5559 , 5.50951 , 26.3078
20.5913 , 5.51038 , 25.842
20.6416 , 5.51339 , 25.3899
20.7029 , 5.51779 , 24.9237
20.7671 , 5.52241 , 24.435
20.8245 , 5.52653 , 23.9983
